prov:Maintain86602,2009,00001,2764190,2764190,1148540.8255594678
prov:Maintain86605,2009,00002,445250,445250,190849.44686762718
prov:Maintain86606,2009,00002,510025,510025,96902.24636021245
prov:Maintain86607,2009,00003,39900,39900,14046.724173200028
prov:Maintain86609,2009,00003,123800,123800,42164.63520170391
prov:Maintain86610,2009,00003,33600,33600,52983.68083189361
prov:Maintain86611,2009,00003,0,0,2771.621295471839
prov:Maintain86629,2009,00008,0,0,15016.75377492837
prov:Maintain86648,2009,00011,0,0,751.2010457029271
prov:Maintain86654,2009,00011,2285,0,2055.0614628666754
prov:Maintain86679,2009,00016,83100,83100,32089.671155318294
prov:Maintain86703,2009,00016,237948,237948,2370.3123962137797
prov:Maintain86705,2009,00016,154151,154151,4557.274122030694
prov:Maintain86712,2009,00017,18759,17966,18851.64871693997
prov:Maintain86715,2009,00018,188608,183456,190861.65676848555
prov:Maintain86742,2009,00024,0,16100,17005.020147353094
prov:Maintain86746,2009,00025,0,23649,24136.707693370485
prov:Maintain86750,2009,00025,8365,8478,8867.70588574824
prov:Maintain86755,2009,00027,23850,24524,26353.68466026858
prov:Maintain86778,2009,00029,0,4377,4512.235308568341
prov:Maintain86782,2009,00029,5178,2048,2529.3032153764584
prov:Maintain86790,2009,00030,2207,2291,2333.4431083902746
prov:Maintain86805,2009,00036,199625,199625,64042.7110826273
prov:Maintain86806,2009,00036,320800,320800,33072.54779324013
prov:Maintain86807,2009,00036,202275,202275,68010.24577408926
prov:Maintain86808,2009,00036,169425,169425,57557.40099747548
prov:Maintain86870,2009,00053,14217,0,15574.34159030669
prov:Maintain86907,2009,00064,73,66,63.422382258533844
prov:Maintain86946,2009,00068,0,9642,9807.211887726367
prov:Maintain86953,2009,00069,675,675,1292.3029093521213
prov:Maintain86972,2009,00072,5885,6074,6472.924644480775
prov:Maintain86980,2009,00073,404450,404450,28317.117070681037
prov:Maintain86981,2009,00073,164325,164325,47217.912338519294
prov:Maintain86982,2009,00073,146025,146025,56076.51807014371
prov:Maintain86983,2009,00073,208475,208475,142835.67732508763
prov:Maintain86984,2009,00073,147775,147775,4098.702015744829
prov:Maintain86985,2009,00073,23350,23350,12589.631045616994
prov:Maintain86997,2009,00075,31876,31876,17215.830934551224
prov:Maintain87024,2009,00078,2015,0,2169.228998331311
prov:Maintain87025,2009,00078,12156,12156,8864.434187539122
prov:Maintain87063,2009,00084,0,0,52430.27765403267
prov:Maintain87069,2009,00088,10077,10077,15745.48665307435
prov:Maintain87131,2009,00094,5881,5881,9138.607890978828
prov:Maintain87134,2009,00095,0,0,4604.044550938894
prov:Maintain87136,2009,00096,0,0,1144.78325830206
prov:Maintain87143,2009,00097,944,944,559.864361492915
prov:Maintain87155,2009,00097,944,944,503.2453181128076
prov:Maintain87200,2009,00107,0,0,34124.49034013441
